164	0.000044	13366.00	13366	13366
165	0.000045	13530.00	13530	13530
166	0.000045	13695.00	13695	13695
167	0.000045	13861.00	13861	13861
168	0.000046	14028.00	14028	14028
169	0.000046	14196.00	14196	14196
170	0.000047	14365.00	14365	14365
171	0.000048	14535.00	14535	14535
172	0.000048	14706.00	14706	14706
173	0.000049	14878.00	14878	14878
174	0.000049	15051.00	15051	15051
175	0.000050	15225.00	15225	15225
176	0.000051	15400.00	15400	15400
177	0.000051	15576.00	15576	15576
178	0.000052	15753.00	15753	15753
179	0.000052	15931.00	15931	15931
180	0.000053	16110.00	16110	16110
181	0.000054	16290.00	16290	16290
182	0.000054	16471.00	16471	16471
183	0.000055	16653.00	16653	16653
184	0.000055	16836.00	16836	16836
185	0.000055	17020.00	17020	17020
186	0.000056	17205.00	17205	17205
187	0.000057	17391.00	17391	17391
188	0.000058	17578.00	17578	17578
189	0.000058	17766.00	17766	17766
190	0.000059	17955.00	17955	17955
191	0.000059	18145.00	18145	18145
192	0.000060	18336.00	18336	18336
193	0.000060	18528.00	18528	18528
194	0.000062	18721.00	18721	18721
195	0.000062	18915.00	18915	18915
196	0.000061	19110.00	19110	19110
197	0.000063	19306.00	19306	19306
198	0.000064	19503.00	19503	19503
199	0.000064	19701.00	19701	19701
200	0.000065	19900.00	19900	19900
201	0.000066	20100.00	20100	20100
202	0.000068	20301.00	20301	20301
203	0.000067	20503.00	20503	20503
204	0.000067	20706.00	20706	20706
205	0.000068	20910.00	20910	20910
206	0.000069	21115.00	21115	21115
207	0.000070	21321.00	21321	21321
208	0.000070	21528.00	21528	21528
209	0.000071	21736.00	21736	21736
210	0.000071	21945.00	21945	21945
211	0.000072	22155.00	22155	22155
212	0.000073	22366.00	22366	22366
213	0.000074	22578.00	22578	22578
214	0.000076	22791.00	22791	22791
215	0.000075	23005.00	23005	23005
216	0.000076	23220.00	23220	23220
217	0.000076	23436.00	23436	23436
218	0.000077	23653.00	23653	23653
219	0.000078	23871.00	23871	23871
220	0.000079	24090.00	24090	24090
221	0.000079	24310.00	24310	24310
222	0.000080	24531.00	24531	24531
223	0.000081	24753.00	24753	24753
224	0.000081	24976.00	24976	24976
225	0.000083	25200.00	25200	25200
226	0.000083	25425.00	25425	25425
227	0.000083	25651.00	25651	25651
228	0.000084	25878.00	25878	25878
229	0.000086	26106.00	26106	26106
230	0.000086	26335.00	26335	26335
231	0.000086	26565.00	26565	26565
232	0.000087	26796.00	26796	26796
233	0.000088	27028.00	27028	27028
234	0.000088	27261.00	27261	27261
235	0.000089	27495.00	27495	27495
236	0.000089	27730.00	27730	27730
237	0.000091	27966.00	27966	27966
238	0.000092	28203.00	28203	28203
239	0.000092	28441.00	28441	28441
240	0.000093	28680.00	28680	28680
241	0.000095	28920.00	28920	28920
242	0.000095	29161.00	29161	29161
243	0.000095	29403.00	29403	29403
244	0.000096	29646.00	29646	29646
245	0.000097	29890.00	29890	29890
246	0.000098	30135.00	30135	30135
247	0.000098	30381.00	30381	30381
248	0.000099	30628.00	30628	30628
249	0.000100	30876.00	30876	30876
250	0.000101	31125.00	31125	31125
251	0.000102	31375.00	31375	31375
252	0.000103	31626.00	31626	31626
253	0.000103	31878.00	31878	31878
254	0.000104	32131.00	32131	32131
255	0.000105	32385.00	32385	32385
256	0.000106	32640.00	32640	32640
257	0.000107	32896.00	32896	32896
258	0.000107	33153.00	33153	33153
259	0.000108	33411.00	33411	33411
260	0.000109	33670.00	33670	33670
261	0.000110	33930.00	33930	33930
262	0.000114	34191.00	34191	34191
263	0.000111	34453.00	34453	34453
264	0.000112	34716.00	34716	34716
265	0.000113	34980.00	34980	34980
266	0.000114	35245.00	35245	35245
267	0.000116	35511.00	35511	35511
268	0.000116	35778.00	35778	35778
269	0.000117	36046.00	36046	36046
270	0.000119	36315.00	36315	36315
271	0.000118	36585.00	36585	36585
272	0.000119	36856.00	36856	36856
273	0.000120	37128.00	37128	37128
274	0.000121	37401.00	37401	37401
275	0.000122	37675.00	37675	37675
276	0.000123	37950.00	37950	37950
277	0.000124	38226.00	38226	38226
278	0.000125	38503.00	38503	38503
279	0.000127	38781.00	38781	38781
280	0.000127	39060.00	39060	39060
281	0.000127	39340.00	39340	39340
282	0.000128	39621.00	39621	39621
283	0.000130	39903.00	39903	39903
284	0.000130	40186.00	40186	40186
285	0.000131	40470.00	40470	40470
286	0.000132	40755.00	40755	40755
287	0.000133	41041.00	41041	41041
288	0.000134	41328.00	41328	41328
289	0.000136	41616.00	41616	41616
290	0.000136	41905.00	41905	41905
291	0.000137	42195.00	42195	42195
292	0.000137	42486.00	42486	42486
293	0.000138	42778.00	42778	42778
294	0.000139	43071.00	43071	43071
295	0.000140	43365.00	43365	43365
296	0.000142	43660.00	43660	43660
297	0.000142	43956.00	43956	43956
298	0.000145	44253.00	44253	44253
299	0.000144	44551.00	44551	44551
300	0.000146	44850.00	44850	44850
301	0.000146	45150.00	45150	45150
302	0.000147	45451.00	45451	45451
303	0.000135	45753.00	45753	45753
304	0.000118	46056.00	46056	46056
305	0.000106	46360.00	46360	46360
306	0.000096	46665.00	46665	46665
307	0.000088	46971.00	46971	46971
308	0.000081	47278.00	47278	47278
309	0.000075	47586.00	47586	47586
310	0.000072	47895.00	47895	47895
311	0.000073	48205.00	48205	48205
312	0.000077	48516.00	48516	48516
313	0.000076	48828.00	48828	48828
314	0.000075	49141.00	49141	49141
315	0.000075	49455.00	49455	49455
316	0.000075	49770.00	49770	49770
317	0.000076	50086.00	50086	50086
318	0.000076	50403.00	50403	50403
319	0.000077	50721.00	50721	50721
320	0.000077	51040.00	51040	51040
321	0.000078	51360.00	51360	51360
322	0.000078	51681.00	51681	51681
323	0.000079	52003.00	52003	52003
324	0.000079	52326.00	52326	52326
325	0.000080	52650.00	52650	52650
326	0.000081	52975.00	52975	52975
327	0.000081	53301.00	53301	53301
328	0.000081	53628.00	53628	53628
329	0.000082	53956.00	53956	53956
330	0.000083	54285.00	54285	54285
331	0.000086	54615.00	54615	54615
332	0.000084	54946.00	54946	54946
333	0.000084	55278.00	55278	55278
334	0.000084	55611.00	55611	55611
335	0.000084	55945.00	55945	55945
336	0.000085	56280.00	56280	56280
337	0.000086	56616.00	56616	56616
338	0.000086	56953.00	56953	56953
339	0.000087	57291.00	57291	57291
340	0.000087	57630.00	57630	57630
341	0.000088	57970.00	57970	57970
