1	0.000000	0.00	0	0
2	0.000000	9.32	8	11
3	0.000000	12.00	12	12
4	0.000000	24.09	21	27
5	0.000000	32.14	26	39
6	0.000000	42.48	36	51
7	0.000000	52.88	42	67
8	0.000000	63.28	53	79
9	0.000000	74.52	62	93
10	0.000000	87.25	73	113
11	0.000000	98.27	80	124
12	0.000000	110.23	92	135
13	0.000000	125.99	106	166
14	0.000001	137.95	118	168
15	0.000001	151.39	124	184
16	0.000001	164.09	138	203
17	0.000001	181.14	156	241
18	0.000001	196.06	160	272
19	0.000001	209.56	170	270
20	0.000001	226.44	191	291
21	0.000001	240.20	210	303
22	0.000001	254.71	220	313
23	0.000001	270.52	231	340
24	0.000001	288.75	252	361
25	0.000001	302.22	255	387
26	0.000001	315.66	266	396
27	0.000001	335.13	292	427
28	0.000001	350.76	301	472
29	0.000001	367.40	306	453
30	0.000001	380.95	336	479
31	0.000001	403.97	347	512
32	0.000001	422.58	364	527
33	0.000001	434.93	370	581
34	0.000002	451.32	390	571
35	0.000002	465.18	400	562
36	0.000002	483.95	422	677
37	0.000002	503.88	439	641
38	0.000002	526.06	450	676
39	0.000002	539.73	477	706
40	0.000002	554.25	478	762
41	0.000002	577.12	498	716
42	0.000002	596.34	507	735
43	0.000002	611.42	516	731
44	0.000002	632.35	547	830
45	0.000002	640.66	556	853
46	0.000002	674.01	595	844
47	0.000002	691.05	581	937
48	0.000002	703.01	612	928
49	0.000002	727.34	627	879
50	0.000002	737.87	642	891
51	0.000003	768.08	656	1027
52	0.000003	767.16	680	942
53	0.000003	780.95	691	987
54	0.000003	819.23	716	1051
55	0.000003	828.82	711	973
56	0.000003	853.46	746	1049
57	0.000003	875.50	760	1152
58	0.000003	877.73	761	1179
59	0.000003	899.86	776	1170
60	0.000003	939.10	814	1200
61	0.000003	953.08	825	1232
62	0.000003	969.62	835	1165
63	0.000003	1000.75	872	1310
64	0.000003	1013.74	883	1352
65	0.000003	1039.00	922	1412
66	0.000003	1051.24	919	1322
67	0.000003	1058.09	946	1348
68	0.000004	1096.02	962	1299
69	0.000004	1120.52	980	1372
70	0.000004	1126.21	973	1438
71	0.000004	1160.24	1012	1448
72	0.000004	1191.09	1019	1507
73	0.000004	1194.59	1064	1488
74	0.000004	1208.52	1060	1589
75	0.000004	1250.66	1071	1572
76	0.000004	1260.87	1120	1636
77	0.000004	1280.82	1121	1587
78	0.000004	1323.29	1167	1741
79	0.000004	1312.98	1169	1646
80	0.000004	1317.20	1174	1660
81	0.000004	1369.89	1179	1804
82	0.000004	1371.60	1204	1671
83	0.000004	1407.55	1198	1705
84	0.000004	1417.72	1254	1639
85	0.000005	1433.88	1313	1815
86	0.000005	1464.84	1277	1812
87	0.000005	1469.15	1304	1878
88	0.000005	1509.62	1303	1882
89	0.000005	1524.23	1346	1813
90	0.000005	1545.00	1339	1942
91	0.000005	1559.38	1342	1929
92	0.000005	1587.49	1394	1964
93	0.000005	1617.36	1431	1962
94	0.000005	1621.64	1416	2020
95	0.000005	1633.71	1417	2012
96	0.000005	1659.40	1487	2081
97	0.000005	1687.93	1467	1898
98	0.000005	1724.13	1523	2198
99	0.000005	1734.59	1527	2041
100	0.000005	1772.73	1512	2371
101	0.000005	1773.48	1587	2310
102	0.000006	1806.68	1565	2313
103	0.000006	1785.77	1593	2211
104	0.000006	1861.06	1597	2187
105	0.000006	1874.30	1673	2242
106	0.000006	1887.23	1611	2203
107	0.000006	1921.85	1704	2338
108	0.000006	1949.17	1727	2324
109	0.000006	1959.12	1761	2409
110	0.000006	1953.54	1755	2689
111	0.000006	1992.52	1751	2377
112	0.000006	2025.90	1806	2565
113	0.000006	2034.56	1817	2437
114	0.000007	2072.59	1846	2414
115	0.000007	2078.76	1831	2439
116	0.000007	2110.00	1853	2469
117	0.000007	2149.62	1885	2685
118	0.000007	2160.80	1937	2640
119	0.000007	2150.67	1881	2527
120	0.000007	2233.32	1933	2716
121	0.000007	2217.51	1923	2805
122	0.000007	2249.06	1941	2769
123	0.000007	2254.64	2013	2631
124	0.000007	2284.48	2030	2789
125	0.000007	2320.51	2067	2663
126	0.000007	2350.95	2075	2759
127	0.000007	2368.21	2084	3030
128	0.000007	2397.79	2111	3282
129	0.000007	2393.60	2140	3066
130	0.000007	2450.81	2152	2904
131	0.000008	2447.79	2175	2980
132	0.000008	2489.98	2171	3277
133	0.000008	2507.04	2191	2900
134	0.000008	2483.10	2187	3263
135	0.000008	2540.39	2289	2929
136	0.000008	2556.70	2293	3059
137	0.000008	2600.15	2341	3015
